============================================================
   PITCH RESOURCE GANTT LOG — Thread activity over time
============================================================
Time (us)     Role          Player                    Event
------------------------------------------------------------
893           BOWLER        Shadab Khan               BOWL_START
900           BOWLER        Shadab Khan               BOWL_END
905           STRIKER       Rohit Sharma              BAT_START
924           STRIKER       Rohit Sharma              BAT_END
930           STRIKER       Rohit Sharma              RUN_START
925           FIELDER       Shaheen Afridi            CATCH
977           NON_STRIKER   Shubman Gill              RUN_START
2734          STRIKER       Rohit Sharma              RUN_END
4611          NON_STRIKER   Shubman Gill              RUN_END
4727          BOWLER        Shadab Khan               BOWL_START
4733          BOWLER        Shadab Khan               BOWL_END
4738          STRIKER       Rohit Sharma              BAT_START
4755          STRIKER       Rohit Sharma              BAT_END
4762          STRIKER       Rohit Sharma              RUN_START
4756          FIELDER       Naseem Shah               CATCH
4803          NON_STRIKER   Shubman Gill              RUN_START
6542          NON_STRIKER   Shubman Gill              RUN_END
7486          STRIKER       Rohit Sharma              RUN_END
7676          BOWLER        Shadab Khan               BOWL_START
7702          BOWLER        Shadab Khan               BOWL_END
7711          STRIKER       Rohit Sharma              BAT_START
7740          FIELDER       Iftikhar Ahmed            CATCH
7741          STRIKER       Rohit Sharma              BAT_END
7762          STRIKER       Rohit Sharma              RUN_START
7769          NON_STRIKER   Shubman Gill              RUN_START
10023         NON_STRIKER   Shubman Gill              RUN_END
10436         STRIKER       Rohit Sharma              RUN_END
10534         BOWLER        Shadab Khan               BOWL_START
10538         BOWLER        Shadab Khan               BOWL_END
10549         STRIKER       Rohit Sharma              BAT_START
10575         STRIKER       Rohit Sharma              BAT_END
10577         STRIKER       Rohit Sharma              RUN_START
10579         FIELDER       Babar Azam                CATCH
10592         NON_STRIKER   Shubman Gill              RUN_START
12255         NON_STRIKER   Shubman Gill              RUN_END
13228         STRIKER       Rohit Sharma              RUN_END
13354         BOWLER        Shadab Khan               BOWL_START
13357         BOWLER        Shadab Khan               BOWL_END
13365         STRIKER       Rohit Sharma              BAT_START
13383         STRIKER       Rohit Sharma              BAT_END
13384         STRIKER       Rohit Sharma              RUN_START
13387         FIELDER       Mohammad Wasim Jr.        CATCH
13389         NON_STRIKER   Shubman Gill              RUN_START
16196         STRIKER       Rohit Sharma              RUN_END
17064         NON_STRIKER   Shubman Gill              RUN_END
17272         BOWLER        Shadab Khan               BOWL_START
17292         BOWLER        Shadab Khan               BOWL_END
17295         STRIKER       Virat Kohli               BAT_START
17308         STRIKER       Virat Kohli               BAT_END
17312         STRIKER       Virat Kohli               RUN_START
17309         FIELDER       Haris Rauf                CATCH
17342         NON_STRIKER   Shubman Gill              RUN_START
19059         NON_STRIKER   Shubman Gill              RUN_END
20306         STRIKER       Virat Kohli               RUN_END
20430         BOWLER        Shadab Khan               BOWL_START
20435         BOWLER        Shadab Khan               BOWL_END
20439         STRIKER       Shubman Gill              BAT_START
20454         FIELDER       Fakhar Zaman              CATCH
20462         NON_STRIKER   Virat Kohli               RUN_START
20455         STRIKER       Shubman Gill              BAT_END
20471         STRIKER       Shubman Gill              RUN_START
20583         DEADLOCK      Virat Kohli               RUNOUT
20601         NON_STRIKER   Virat Kohli               RUN_END
20612         STRIKER       Shubman Gill              RUN_END
20783         BOWLER        Imad Wasim                BOWL_START
20786         BOWLER        Imad Wasim                BOWL_END
20799         STRIKER       Suryakumar Yadav          BAT_START
20820         FIELDER       Shaheen Afridi            CATCH
20834         STRIKER       Suryakumar Yadav          BAT_END
20836         STRIKER       Suryakumar Yadav          RUN_START
20862         NON_STRIKER   Shubman Gill              RUN_START
